id,found,center_x,center_y,radius,rms,center_error_px,method,block,time_ms
425,1,2813.09,1232.6,138.625,0.32195,4.68851,algebraic,ELLIPSE,23.6362
426,1,2407.16,815.477,137.864,0.518757,4.8427,algebraic,CIRCLE,36.6858
427,1,3137.22,345.612,138.551,0.376858,4.67735,algebraic,CIRCLE,36.3076
428,1,2699.53,1480.26,138.938,0.420147,4.50794,ransac,VERTICAL_WIRE,35.7926
429,1,190.091,658.6,138.625,0.32195,4.68856,algebraic,NONE,37.4741
430,1,3111.09,892.6,138.625,0.32195,4.68857,algebraic,NONE,24.8673
431,1,3329.09,1203.6,138.625,0.32195,4.68851,algebraic,NONE,46.4013
432,1,2576.09,531.6,138.625,0.32195,4.68857,algebraic,ELLIPSE,26.2822
433,1,3421.78,1220.23,133.262,1.02887,1.09628,ransac,VERTICAL_WIRE,24.1867
434,1,277.406,287.684,138.417,0.495745,4.72155,algebraic,ELLIPSE,40.177
435,1,3460.09,1352.6,138.625,0.32195,4.68851,algebraic,NONE,38.5146
436,1,2116.66,1382.5,135.443,0.999516,6.10668,algebraic,VERTICAL_WIRE,48.1468
437,1,2704.5,244,107.616,0.775444,35.0179,ransac,VERTICAL_WIRE,33.7186
438,1,3086.23,1578.84,145.761,0.729681,11.3168,ransac,VERTICAL_WIRE,23.6364
439,1,3395.09,762.6,138.625,0.32195,4.68857,algebraic,NONE,29.7062
440,1,770.145,323.862,136.424,1.96937,6.20537,algebraic,VERTICAL_WIRE,38.2731
441,1,1242.09,1120.6,138.625,0.32195,4.68849,algebraic,NONE,32.894
442,1,198.091,1476.6,138.625,0.32195,4.6885,algebraic,SQUARE,36.9547
443,0,-1,-1,-1,-1,-1,none,ELLIPSE,38.9368
444,1,2348.01,1575.99,137.582,0.425568,6.06992,algebraic,VERTICAL_WIRE,34.5697
445,1,1373.74,1582.84,135.142,1.6044,8.84244,algebraic,VERTICAL_WIRE,30.9471
446,1,1417.94,693.59,138.526,0.457756,4.71056,algebraic,CIRCLE,23.4578
447,1,2623.09,1905.6,138.625,0.32195,4.68851,algebraic,SQUARE,30.503
448,1,1556.09,1699.6,138.625,0.32195,4.68849,algebraic,SQUARE,32.8723
449,1,432.091,555.6,138.625,0.32195,4.68856,algebraic,CIRCLE,25.5264
450,1,2122.45,1326.86,138.452,0.50335,4.8874,ransac,ELLIPSE,33.7932
451,1,955.87,1591.54,137.129,0.717234,6.63454,algebraic,VERTICAL_WIRE,30.9981
452,1,1575.4,758.822,136.075,0.773021,1.79562,ransac,VERTICAL_WIRE,31.4557
453,1,2323.66,1128.33,137.602,1.14332,3.59414,algebraic,VERTICAL_WIRE,27.8892
454,1,1470.09,1382.6,138.625,0.32195,4.68849,algebraic,SQUARE,31.9927
455,1,772.342,818.562,138.047,0.647363,4.8534,algebraic,SQUARE,30.9423
456,0,-1,-1,-1,-1,-1,none,CIRCLE,23.466
457,1,3366.73,1699.76,138.419,0.857177,4.92658,algebraic,SQUARE,45.4003
458,1,2431.09,447.6,138.625,0.32195,4.68857,algebraic,ELLIPSE,25.1497
459,1,347.509,273.74,138.388,0.853648,4.76506,algebraic,ELLIPSE,38.6659
460,1,2923.09,1400.6,138.625,0.32195,4.68851,algebraic,NONE,43.3728
461,1,3399.22,1089.56,136.715,1.24722,3.11799,algebraic,VERTICAL_WIRE,36.6331
462,1,2241.09,574.6,138.625,0.32195,4.68857,algebraic,SQUARE,38.3163
463,0,-1,-1,-1,-1,-1,none,CIRCLE,38.6973
464,1,2035.91,1659.13,136.955,0.729921,5.21299,algebraic,VERTICAL_WIRE,38.9545
465,1,2064.09,957.6,138.625,0.32195,4.68857,algebraic,SQUARE,40.9893
466,1,2172.1,325.346,137.059,0.99982,4.48281,algebraic,ELLIPSE,38.6074
467,0,-1,-1,-1,-1,-1,none,CIRCLE,25.0575
468,1,730.091,1469.6,138.625,0.32195,4.6885,algebraic,CIRCLE,21.9522
469,1,2108.58,919.421,138.57,0.794279,5.43742,ransac,VERTICAL_WIRE,24.5307
470,1,2024.09,397.6,138.625,0.32195,4.68855,algebraic,CIRCLE,31.2235
471,1,1809.04,1153.92,135.695,1.18479,7.91818,algebraic,VERTICAL_WIRE,35.3845
472,1,1056.83,747.785,137.344,1.28835,4.85537,algebraic,SQUARE,33.6228
473,1,1209.09,1083.6,138.625,0.32195,4.68849,algebraic,NONE,29.6336
474,1,1156.09,1540.6,138.625,0.32195,4.68849,algebraic,CIRCLE,33.4925
475,1,497.091,1933.6,138.625,0.32195,4.6885,algebraic,NONE,23.3657
476,1,1965.77,973.77,138.17,0.924075,4.77568,algebraic,SQUARE,35.0434
477,1,1617.6,1489.61,137.283,0.366506,4.65019,algebraic,CIRCLE,38.5604
478,1,2077.04,1294.59,137.044,0.28442,6.66394,algebraic,VERTICAL_WIRE,42.1244
479,1,1908.56,1071.49,136.952,1.06737,2.87931,algebraic,VERTICAL_WIRE,36.5713
480,1,2587.09,369.6,138.625,0.32195,4.68857,algebraic,CIRCLE,33.914
481,1,1420.94,1272.86,136.241,0.988272,3.0125,algebraic,VERTICAL_WIRE,26.6298
482,1,2472.09,358.6,138.625,0.32195,4.68857,algebraic,ELLIPSE,33.9615
483,1,2902.2,374.551,138.532,0.417686,4.61995,algebraic,CIRCLE,45.5908
484,1,721.463,1815.99,132.79,0.937088,3.67747,algebraic,VERTICAL_WIRE,35.5353
485,1,760.032,1913.5,137.779,0.654671,4.50024,ransac,VERTICAL_WIRE,25.8085
486,1,2911.35,1467.26,137.343,0.72312,5.26843,algebraic,ELLIPSE,26.8213
487,1,266.095,429.518,137.937,0.323207,5.59153,algebraic,VERTICAL_WIRE,40.8484
488,1,3345.09,744.6,138.625,0.32195,4.68857,algebraic,ELLIPSE,24.1639
489,1,1377.47,1270.42,134.652,1.10358,2.56159,algebraic,VERTICAL_WIRE,36.2619
490,1,466.091,608.6,138.625,0.32195,4.68856,algebraic,NONE,24.1685
491,1,1182.21,1293.12,137.458,0.439898,5.12464,algebraic,ELLIPSE,28.4696
492,1,733.211,1371.36,136.261,1.26063,5.77714,algebraic,VERTICAL_WIRE,30.3329
493,1,3403.09,1630.6,138.625,0.32195,4.68851,algebraic,NONE,29.6431
494,1,2520.83,1906.28,137.342,1.76512,3.28681,algebraic,VERTICAL_WIRE,39.7766
495,1,985.091,878.6,138.625,0.32195,4.68856,algebraic,NONE,32.498
496,1,3412.31,1735.62,138.513,0.515979,4.66701,algebraic,CIRCLE,22.4267
497,0,-1,-1,-1,-1,-1,none,CIRCLE,37.7041
498,1,2871.09,1454.6,138.625,0.32195,4.68851,algebraic,CIRCLE,26.7279
499,1,2341.31,1257.47,138.017,0.586849,4.78233,algebraic,CIRCLE,30.2255
500,1,1412.66,1902.58,135.303,0.908773,0.6739,algebraic,VERTICAL_WIRE,29.0089
501,1,2285.09,827.6,138.625,0.32195,4.68857,algebraic,CIRCLE,37.0453
502,1,3459.09,1110.6,138.625,0.32195,4.68851,algebraic,SQUARE,38.473
503,1,2953.45,568.373,128.745,1.59551,14.494,algebraic,SQUARE,39.047
504,1,1517.09,270.6,138.625,0.32195,4.68855,algebraic,CIRCLE,26.3711
505,1,1518.09,1438.6,138.625,0.32195,4.68849,algebraic,SQUARE,25.0354
506,1,2668.09,1830.6,138.625,0.32195,4.68851,algebraic,ELLIPSE,29.3616
507,1,1664.09,1226.6,138.625,0.32195,4.68849,algebraic,ELLIPSE,22.2367
508,1,2410.51,1514.7,137.541,0.487905,4.73012,ransac,ELLIPSE,24.4906
509,1,2324.09,498.6,138.625,0.32195,4.68857,algebraic,NONE,29.1637
510,1,2149.09,831.6,138.625,0.32195,4.68857,algebraic,ELLIPSE,46.2825
511,1,427.091,886.6,138.625,0.32195,4.68856,algebraic,SQUARE,31.9964
512,0,-1,-1,-1,-1,-1,none,CIRCLE,36.8552
513,1,3098.3,1887.89,136.294,1.02379,2.54159,algebraic,VERTICAL_WIRE,25.1188
514,0,-1,-1,-1,-1,-1,none,ELLIPSE,27.3488
515,0,-1,-1,-1,-1,-1,none,CIRCLE,33.6215
516,1,3580.59,1123.75,136.22,1.28142,7.87496,algebraic,VERTICAL_WIRE,35.6238
517,1,1130.24,1212.05,140.699,0.696208,6.65038,ransac,VERTICAL_WIRE,37.9164
518,1,1536.09,1550.6,138.625,0.32195,4.68849,algebraic,SQUARE,35.4984
519,1,1015.66,1673.2,130.476,1.8513,4.61127,algebraic,VERTICAL_WIRE,35.165
520,0,-1,-1,-1,-1,-1,none,CIRCLE,34.936
521,0,-1,-1,-1,-1,-1,none,CIRCLE,27.2002
522,1,2226.09,1447.6,138.625,0.32195,4.68851,algebraic,SQUARE,43.9414
523,1,2837.09,489.6,138.625,0.32195,4.68857,algebraic,SQUARE,24.1606
524,1,3376.09,1676.6,138.625,0.32195,4.68851,algebraic,SQUARE,37.7221
525,1,3366.09,1212.6,138.625,0.32195,4.68851,algebraic,NONE,37.7539
526,1,2493.09,1553.6,138.625,0.32195,4.68851,algebraic,NONE,33.3793
527,1,938.091,797.6,138.625,0.32195,4.68856,algebraic,NONE,22.3965
528,1,3015.09,1857.6,138.625,0.32195,4.68851,algebraic,NONE,34.7197
529,1,2267.35,1217.86,136.801,0.568171,2.87768,ransac,VERTICAL_WIRE,30.5606
530,1,457.467,1741.52,138.314,0.450825,4.54849,algebraic,CIRCLE,26.3462
531,1,2935.09,1000.6,138.625,0.32195,4.68857,algebraic,SQUARE,23.8073
532,1,1019.09,1389.6,138.625,0.32195,4.6885,algebraic,SQUARE,29.8242
533,0,-1,-1,-1,-1,-1,none,ELLIPSE,36.4631
534,1,2199.09,1769.6,138.625,0.32195,4.68851,algebraic,NONE,36.2149
535,1,2145.09,495.6,138.625,0.32195,4.68857,algebraic,NONE,23.428
536,1,728.091,1636.6,138.625,0.32195,4.6885,algebraic,NONE,46.5215
537,0,-1,-1,-1,-1,-1,none,ELLIPSE,37.8183
538,1,3625.09,636.6,138.625,0.32195,4.68857,algebraic,CIRCLE,22.0599
539,1,353.306,1893.54,137.279,1.0364,5.2789,algebraic,SQUARE,38.6485
540,1,3418.96,1599.48,132.149,1.21629,11.5192,algebraic,VERTICAL_WIRE,22.564
541,1,3081.09,1731.6,138.625,0.32195,4.68851,algebraic,NONE,38.9261
542,1,2364.82,1741.53,138.463,0.677795,4.67962,algebraic,ELLIPSE,34.8216
543,1,1788.09,291.6,138.625,0.32195,4.68855,algebraic,NONE,27.7744
544,1,3336.9,438.7,136.03,1.65261,6.01014,algebraic,VERTICAL_WIRE,33.7041
545,1,3432.94,1792.5,137.552,1.07631,5.50252,algebraic,VERTICAL_WIRE,22.9109
546,1,216.091,1832.6,138.625,0.32195,4.6885,algebraic,SQUARE,24.8891
547,0,-1,-1,-1,-1,-1,none,ELLIPSE,37.6133
548,1,691.091,1889.6,138.625,0.32195,4.6885,algebraic,NONE,23.6316
549,1,2215.98,572.763,136.873,0.937927,5.63781,algebraic,VERTICAL_WIRE,33.0439
550,1,367.655,680.555,138.383,0.831444,4.74979,algebraic,ELLIPSE,35.0107
551,1,3022.09,1656.6,138.625,0.32195,4.68851,algebraic,CIRCLE,33.1828
552,1,372.091,1503.6,138.625,0.32195,4.6885,algebraic,NONE,38.404
553,1,251.091,1894.6,138.625,0.32195,4.6885,algebraic,NONE,28.3343
554,1,1614.09,1605.6,138.625,0.32195,4.68849,algebraic,NONE,22.048
555,1,1896.09,784.6,138.625,0.32195,4.68855,algebraic,SQUARE,27.6751
556,1,1350.48,1379.19,137.383,0.947676,3.53993,algebraic,ELLIPSE,31.2875
557,0,-1,-1,-1,-1,-1,none,CIRCLE,35.463
558,1,1109.09,732.6,138.625,0.32195,4.68855,algebraic,SQUARE,38.2973
559,1,1379.03,1549.7,137.782,0.487217,4.69626,algebraic,VERTICAL_WIRE,40.28
560,1,2107.55,964.985,135.81,0.646524,8.11648,algebraic,VERTICAL_WIRE,36.761
561,1,2722.09,1391.6,138.625,0.32195,4.68851,algebraic,SQUARE,35.3511
562,1,1311.83,1335.79,135.651,0.473934,6.35305,algebraic,ELLIPSE,38.2849
563,1,1158.97,1408.72,137.612,0.633209,5.13704,algebraic,VERTICAL_WIRE,25.6071
564,1,508.706,638.963,138.062,0.558489,3.97371,ransac,VERTICAL_WIRE,35.9485
565,1,2993.9,1404.71,136.908,0.328909,6.79954,algebraic,ELLIPSE,22.9517
566,1,1118.09,1143.6,138.625,0.32195,4.68849,algebraic,NONE,37.1415
567,1,3144.09,642.6,138.625,0.32195,4.68857,algebraic,CIRCLE,24.2086
568,1,966.783,292.703,138.455,0.689421,4.85807,algebraic,ELLIPSE,24.1687
569,1,1674.09,1477.6,138.625,0.32195,4.68849,algebraic,NONE,27.3469
570,1,3129.09,1965.6,138.625,0.32195,4.68851,algebraic,SQUARE,39.4466
571,1,1918.09,1651.14,137.673,0.620381,4.55737,algebraic,ELLIPSE,37.7613
572,1,2757.43,485.387,139.433,0.685718,3.73112,ransac,VERTICAL_WIRE,37.4872
